fold,temperature,raw_log_loss,calibrated_log_loss,raw_ece,calibrated_ece
1,0.9512474751095815,0.40960154931098447,0.408656059641024,0.009039884914382755,0.008248396698557179
2,0.9506940114371867,0.417115055355828,0.41618769852567805,0.011397588835756074,0.009189709654680469
3,0.9399497449730279,0.41760724232287727,0.4174746293543928,0.009974388089090982,0.01324012627389922
4,0.9419627523281006,0.4239181603971575,0.42361878944579956,0.010158989547011204,0.01281491359534338
5,0.9407948046325776,0.43094708715476615,0.4308256778111878,0.012562457672996963,0.012981283021802988
