fold,train_rows,validation_rows,train_groups,validation_groups,macro_f1,accuracy,log_loss
1,39628,10372,23,6,0.7856168298797412,0.8199961434631701,0.4096015493109846
2,39802,10198,23,6,0.7869956205265617,0.81790547166111,0.417115055355828
3,39551,10449,23,6,0.7835533038773899,0.8154847353813762,0.4176072423228773
4,39697,10303,23,6,0.7823374059951151,0.8111229738910997,0.4239181603971576
5,41322,8678,24,5,0.7816270860539869,0.8085964507951141,0.4309470871547662
