variant,feature_count,macro_f1_mean,macro_f1_std,accuracy_mean,log_loss_mean,attack_f1_mean,defend_f1_mean,hold_f1_mean,conserve_f1_mean
core_brake,11,0.7762824714687696,0.003544086440792924,0.8070468751545306,0.4325666129589081,0.7742314285093975,0.8814190578959422,0.8156584081271957,0.6338209913425429
core_throttle,12,0.7761959364682888,0.002650861480555647,0.8066845000425873,0.4332347571849823,0.7729578180568439,0.8812802122049981,0.8151362186389797,0.6354094969723337
core,9,0.7757517387501778,0.0028184267130005975,0.8061639665420678,0.433718204498291,0.7721181786299758,0.8805485012308212,0.8146531062749505,0.6356871688649637
core_temporal,13,0.7749254992352903,0.00180211413805826,0.8051582963600872,0.435560005903244,0.7712739204401073,0.8808335812598024,0.8131393244148386,0.6344551708264128
core_powertrain,16,0.7748160102959578,0.0027465674432912653,0.8055855209245271,0.4352967441082001,0.7697233079474864,0.881289750642378,0.8142170224981073,0.6340339600958592
full,25,0.773970526461243,0.0023263155178777275,0.8049164998406896,0.4387784481048584,0.768735245531923,0.8806672408103762,0.8137550883916997,0.6327245311109733
